iter	RMSE
0	0.9283043566
1	0.9274657946
2	0.9266342997
3	0.9257517561
4	0.9249006256
5	0.9240736989
6	0.9233291243
7	0.9226439119
8	0.9218617981
9	0.9210955542
10	0.9203449469
11	0.9196235272
12	0.918842925
13	0.9181262474
14	0.9173899429
15	0.9166599341
16	0.9159696803
17	0.9152734426
18	0.9146423713
19	0.9139704895
20	0.9132665719
21	0.9125603157
22	0.9119969269
23	0.9114252561
24	0.9108304915
25	0.910159099
26	0.9095617946
27	0.9089901185
28	0.9083649801
29	0.9077571901
30	0.9072494798
31	0.9066205973
32	0.9061280882
33	0.9055677793
34	0.9049994284
35	0.904496374
36	0.9040552391
37	0.9035385506
38	0.9030714052
39	0.9026307867
40	0.902163271
41	0.9017152168
42	0.9012378663
43	0.9007925568
44	0.9003280205
45	0.8998355071
46	0.8993662202
47	0.8989385911
48	0.8984528513
49	0.8979970403
50	0.8975811786
51	0.8971364225
52	0.8966527603
53	0.8961986739
54	0.8957989997
55	0.8953914093
56	0.8950406519
57	0.8946439423
58	0.8942595441
59	0.893888817
60	0.8935029656
61	0.8931467417
62	0.8927636667
63	0.8924106914
64	0.8920450291
65	0.8916883408
66	0.8913069662
67	0.890974199
68	0.8906119878
69	0.8903104035
70	0.8899808078
71	0.8896337279
72	0.8892717637
73	0.8889273006
74	0.8885668899
75	0.8882237381
76	0.8879164797
77	0.8876337114
78	0.8873336132
79	0.8870334921
80	0.8867475032
81	0.8864285381
82	0.8861597871
83	0.8858691249
84	0.8856291105
85	0.8853326431
86	0.8850635576
87	0.8847758496
88	0.8844842792
89	0.8841970786
90	0.8839475152
91	0.8837006687
92	0.8834094561
93	0.8831427997
94	0.8829106441
95	0.8827014698
96	0.8824605279
97	0.8822028786
98	0.8819781351
99	0.8817511713
100	0.8815533439
101	0.8813327431
102	0.8810977132
103	0.880867325
104	0.8806238828
105	0.8803671328
106	0.8801059675
107	0.8798692022
108	0.8796457602
109	0.8794307544
110	0.8792641547
111	0.879074761
112	0.8788755943
113	0.878647746
114	0.8784529146
115	0.8782573949
116	0.8780577411
117	0.877876046
118	0.877675648
119	0.8775052213
120	0.8772900394
121	0.8770851302
122	0.8769049385
123	0.8767113968
124	0.8765287799
125	0.8763726147
126	0.8761734726
127	0.8759989753
128	0.8757979118
129	0.8756063746
130	0.8754245482
131	0.875265535
132	0.8750765268
133	0.8748905364
134	0.8747375683
135	0.8745839108
136	0.8744243424
137	0.8742611477
138	0.8740980934
139	0.8739254099
140	0.8737514924
141	0.8735768055
142	0.8733768138
143	0.8731987966
144	0.8730273732
145	0.8728887243
146	0.8727272942
147	0.8725722472
148	0.8724106172
149	0.8722721881
150	0.8721219371
151	0.8719578626
152	0.871794401
153	0.8716386045
154	0.8714855188
155	0.8713239402
156	0.8711696305
157	0.8710257789
158	0.8708774653
159	0.8707362028
160	0.8705953468
161	0.8704508531
162	0.870324312
163	0.8701900559
164	0.8700538721
165	0.8699314197
166	0.8697981511
167	0.8696770874
168	0.8695590496
169	0.8694399584
170	0.8692901018
171	0.8691562782
172	0.869031556
173	0.8689101835
174	0.8687742002
175	0.8686512604
176	0.8685269049
177	0.8683992289
178	0.8682728356
179	0.8681546485
180	0.8680229478
181	0.8679030686
182	0.8677876819
183	0.867667077
184	0.867557321
185	0.8674573511
186	0.8673344186
187	0.8672289485
188	0.8670955398
189	0.8669811609
190	0.8668705973
191	0.8667427396
192	0.8666267783
193	0.8665109327
194	0.8664092129
195	0.8662948995
196	0.8661838909
197	0.8660978117
198	0.8660177172
199	0.865902154
200	0.8657974645
201	0.8656799009
202	0.865589383
203	0.8654737253
204	0.8653752564
205	0.8652779397
206	0.8651867672
207	0.8650942253
208	0.8650034787
209	0.8648998435
210	0.8648193494
211	0.8647384056
212	0.8646442378
213	0.86452797
214	0.8644438694
215	0.8643455676
216	0.8642643111
217	0.864156714
218	0.8640534563
219	0.8639698041
220	0.8638810448
221	0.8637810036
222	0.8636842481
223	0.8635835948
224	0.8634799321
225	0.863393662
226	0.8632913937
227	0.8632048557
228	0.8631148411
229	0.8630571089
230	0.8629659568
231	0.862853575
232	0.8627714717
233	0.862688905
234	0.8626140078
235	0.8624988037
236	0.862422453
237	0.8623301232
238	0.8622582194
239	0.8621666703
240	0.8620740354
241	0.8619913867
242	0.8619166714
243	0.8618280423
244	0.8617480032
245	0.8616837496
246	0.8616055462
247	0.8615364824
248	0.8614651116
249	0.861379453
250	0.8613166929
251	0.8612350554
252	0.8611558989
253	0.8610666661
254	0.8609691359
255	0.8608885307
256	0.8608183503
257	0.8607282295
258	0.8606439131
259	0.860554957
260	0.860466777
261	0.8603832143
262	0.86031045
263	0.8602225165
264	0.8601571921
265	0.8600956372
266	0.8600101524
267	0.8599263916
268	0.8598497072
269	0.8597919765
270	0.8597108094
271	0.8596358395
272	0.8595638716
273	0.8594842297
274	0.8594030294
275	0.8593317342
276	0.8592541423
277	0.8591810851
278	0.8591146565
279	0.8590390849
280	0.8589640868
281	0.8589004256
282	0.8588265237
283	0.8587464171
284	0.8586806538
285	0.8586253361
286	0.8585676773
287	0.8585154132
288	0.85842921
289	0.8583667969
290	0.8583085675
291	0.8582432138
292	0.8581841034
293	0.8581244282
294	0.8580331087
295	0.8579696877
296	0.8578902242
297	0.8578131834
298	0.8577364901
299	0.8576583182
300	0.857593479
301	0.8575405266
302	0.8574782254
303	0.8574078231
304	0.8573413565
305	0.8572794484
306	0.8572201804
307	0.8571699887
308	0.8571065179
309	0.8570590449
310	0.8569941258
311	0.8569265853
312	0.8568660694
313	0.8568102484
314	0.8567557547
315	0.8566959367
316	0.8566367622
317	0.85656141
318	0.8565050049
319	0.8564456803
320	0.85638749
321	0.8563118501
322	0.8562554888
323	0.8561874408
324	0.8561563025
325	0.8561055721
326	0.8560238258
327	0.8559647358
328	0.8558973479
329	0.8558279502
330	0.8557768837
331	0.8557170142
332	0.8556509613
333	0.8555972615
334	0.8555378195
335	0.8554813382
336	0.8554203289
337	0.8553749792
338	0.8553152572
339	0.8552544416
340	0.8551875773
341	0.8551513577
342	0.8550817918
343	0.8550198792
344	0.8549599706
345	0.8549089934
346	0.8548551902
347	0.8548060461
348	0.8547477294
349	0.8547128661
350	0.854663916
351	0.8546097875
352	0.8545623246
353	0.8545158104
354	0.8544628235
355	0.8544073674
356	0.8543621397
357	0.8543187514
358	0.8542614273
359	0.8542158146
360	0.8541664665
361	0.8541289206
362	0.8540717527
363	0.8540220929
364	0.8539783796
365	0.8539318847
366	0.8538638832
367	0.8538147526
368	0.853768607
369	0.8537187651
370	0.8536837812
371	0.8536293565
372	0.8535883251
373	0.8535217713
374	0.8534673197
375	0.8534063457
376	0.8533564946
377	0.8533165664
378	0.8532586646
379	0.8532101635
380	0.8531559048
381	0.8531147256
382	0.8530717264
383	0.8530382653
384	0.85299047
385	0.8529292031
386	0.8528653817
387	0.8528228409
388	0.8527672896
389	0.8527168582
390	0.8526702619
391	0.8526302758
392	0.8525770401
393	0.8525259474
394	0.852469722
395	0.8524172625
396	0.8523521367
397	0.8523073884
398	0.8522726948
399	0.8522220543
400	0.8521783496
401	0.8521328705
402	0.8520721465
403	0.8520296795
404	0.8519779008
405	0.8519356917
406	0.8518863919
407	0.851829666
408	0.8517787351
409	0.8517315633
410	0.8516829943
411	0.8516601818
412	0.8516072796
413	0.8515566717
414	0.8515092907
415	0.8514643857
416	0.8514077285
417	0.8513467431
418	0.8513067724
419	0.8512504736
420	0.8512057977
421	0.851168206
422	0.8511402401
423	0.8510961278
424	0.8510497504
425	0.8510090027
426	0.8509713914
427	0.8509279355
428	0.8508759835
429	0.8508386093
430	0.8507909389
431	0.8507536956
432	0.850708351
433	0.8506635221
434	0.8506271605
435	0.8505846768
436	0.8505463278
437	0.8504892145
438	0.850444594
439	0.8504084397
440	0.8503681136
441	0.8503051844
442	0.8502650973
443	0.8502270809
444	0.8501949
445	0.8501535975
446	0.8501108779
447	0.8500764478
448	0.8500191858
449	0.8499855523
450	0.8499408889
451	0.8499030799
452	0.8498585666
453	0.8498204648
454	0.8497785418
455	0.8497293717
456	0.849680482
457	0.8496257499
458	0.8495884003
459	0.8495616927
460	0.8495148226
461	0.8494817226
462	0.8494344341
463	0.8493949966
464	0.8493437794
465	0.8492980458
466	0.8492547537
467	0.8492065357
468	0.8491681183
469	0.8491179175
470	0.8490824039
471	0.8490471848
472	0.8490201642
473	0.8489940447
474	0.8489564161
475	0.8489187274
476	0.8488842003
477	0.8488525627
478	0.8488157372
479	0.8487600912
480	0.8487254306
481	0.8486876556
482	0.8486532384
483	0.8486269606
484	0.8485822301
485	0.8485415169
486	0.8484872729
487	0.8484518137
488	0.8484092323
489	0.8483729481
490	0.8483237255
491	0.8482825958
492	0.8482394754
493	0.8481810317
494	0.8481417672
495	0.8481050466
496	0.8480769058
497	0.8480321549
498	0.8479939502
499	0.8479578244
500	0.847931502
501	0.8478945993
502	0.8478551612
503	0.8478119422
504	0.8477846911
505	0.8477527387
506	0.8477046976
507	0.847656673
508	0.8476005282
509	0.8475657301
510	0.8475256083
511	0.8474957183
512	0.8474635692
513	0.8474383769
514	0.8474118036
515	0.8473790725
516	0.8473512864
517	0.8473050425
518	0.8472615384
519	0.8472140514
520	0.8471831512
521	0.8471569524
522	0.8471251677
523	0.8471029573
524	0.8470657273
525	0.8470429494
526	0.8470056915
527	0.8469615274
528	0.8469090306
529	0.8468820231
530	0.846840515
531	0.8468022937
532	0.8467619575
533	0.8467366762
534	0.8466976808
535	0.8466527216
536	0.846617273
537	0.8465802263
538	0.8465488134
539	0.8464897721
540	0.8464675916
541	0.8464330093
542	0.8463988543
543	0.8463546085
544	0.8463288112
545	0.8462973441
546	0.8462632259
547	0.8462253363
548	0.8461728522
549	0.8461390475
550	0.8461093237
551	0.846069464
552	0.8460267078
553	0.8459995776
554	0.8459666401
555	0.8459277915
556	0.8458924746
557	0.8458547516
558	0.8458172786
559	0.845768349
560	0.8457412981
561	0.8457087778
562	0.845676936
563	0.8456508767
564	0.845621744
565	0.8455877243
566	0.845561851
567	0.845541868
568	0.8454974441
569	0.8454644471
570	0.8454496192
571	0.8454146849
572	0.8453815634
573	0.8453500442
574	0.8453251409
575	0.8452837472
576	0.8452557455
577	0.8452249725
