iter	Passed	Remaining
0	8	7993
1	14	7224
2	21	6988
3	27	6914
4	34	6825
5	41	6878
6	48	6827
7	55	6895
8	62	6873
9	69	6843
10	76	6840
11	83	6867
12	90	6884
13	97	6885
14	104	6871
15	112	6911
16	118	6875
17	125	6851
18	133	6873
19	139	6847
20	146	6841
21	153	6830
22	160	6813
23	167	6795
24	174	6792
25	181	6789
26	188	6794
27	195	6790
28	202	6792
29	209	6785
30	217	6803
31	224	6799
32	232	6805
33	239	6799
34	247	6812
35	255	6830
36	263	6870
37	272	6890
38	280	6906
39	288	6913
40	295	6914
41	303	6921
42	311	6921
43	318	6929
44	327	6939
45	335	6964
46	343	6973
47	352	6982
48	359	6986
49	367	6984
50	375	6994
51	384	7004
52	392	7008
53	400	7007
54	407	7008
55	415	7011
56	424	7019
57	432	7019
58	439	7016
59	447	7014
60	456	7021
61	464	7026
62	472	7032
63	481	7040
64	489	7035
65	497	7045
66	505	7044
67	514	7046
68	522	7050
69	532	7075
70	542	7097
71	550	7097
72	560	7121
73	570	7144
74	582	7185
75	594	7225
76	605	7255
77	616	7281
78	625	7287
79	634	7299
80	644	7316
81	654	7327
82	664	7341
83	673	7345
84	683	7357
85	693	7372
86	702	7374
87	712	7387
88	721	7389
89	730	7390
90	739	7390
91	749	7399
92	758	7401
93	768	7404
94	777	7402
95	787	7420
96	797	7421
97	807	7431
98	819	7456
99	831	7482
100	845	7524
101	859	7566
102	872	7601
103	884	7620
104	896	7643
105	907	7655
106	918	7665
107	929	7675
108	940	7691
109	951	7695
110	961	7697
111	971	7705
112	981	7706
113	992	7710
114	1002	7714
115	1012	7717
116	1023	7723
117	1032	7718
118	1042	7719
119	1053	7722
120	1063	7729
121	1076	7748
122	1087	7751
123	1098	7760
124	1109	7767
125	1120	7772
126	1131	7776
127	1142	7779
128	1151	7777
129	1162	7780
130	1173	7782
131	1183	7783
132	1194	7784
133	1204	7781
134	1214	7781
135	1223	7774
136	1233	7768
137	1244	7772
138	1256	7782
139	1266	7782
140	1276	7779
141	1287	7777
142	1298	7783
143	1311	7794
144	1321	7794
145	1333	7800
146	1343	7793
147	1352	7787
148	1362	7780
149	1371	7770
150	1380	7761
151	1390	7756
152	1399	7750
153	1409	7742
154	1418	7735
155	1427	7723
156	1436	7711
157	1445	7705
158	1456	7705
159	1465	7694
160	1474	7683
161	1498	7749
162	1506	7733
163	1514	7717
164	1522	7705
165	1531	7694
166	1540	7684
167	1549	7674
168	1558	7662
169	1566	7649
170	1576	7640
171	1584	7629
172	1593	7616
173	1601	7604
174	1610	7592
175	1619	7584
176	1629	7575
177	1637	7562
178	1646	7551
179	1654	7539
180	1663	7526
181	1672	7515
182	1680	7502
183	1690	7495
184	1699	7486
185	1707	7474
186	1716	7462
187	1725	7451
188	1734	7442
189	1742	7429
190	1751	7417
191	1759	7403
192	1768	7392
193	1776	7379
194	1784	7365
195	1792	7352
196	1801	7342
197	1810	7331
198	1819	7323
199	1828	7313
200	1836	7298
201	1845	7288
202	1853	7278
203	1862	7268
204	1872	7260
205	1881	7251
206	1889	7239
207	1897	7226
208	1905	7213
209	1914	7201
210	1922	7189
211	1931	7180
212	1940	7168
213	1949	7158
214	1957	7148
215	1966	7136
216	1975	7129
217	1985	7121
218	1994	7111
219	2003	7101
220	2013	7096
221	2022	7086
222	2031	7076
223	2040	7067
224	2048	7056
225	2057	7045
226	2066	7036
227	2075	7026
228	2084	7019
229	2093	7009
230	2102	6999
231	2111	6989
232	2121	6984
233	2130	6975
234	2140	6966
235	2149	6957
236	2157	6947
237	2167	6938
238	2176	6929
239	2186	6922
240	2196	6916
241	2205	6906
242	2214	6897
243	2223	6887
244	2232	6880
245	2242	6874
246	2253	6868
247	2262	6859
248	2271	6850
249	2280	6840
250	2288	6829
251	2298	6823
252	2308	6814
253	2317	6806
254	2326	6797
255	2336	6790
256	2345	6782
257	2355	6774
258	2364	6763
259	2373	6755
260	2383	6747
261	2392	6738
262	2400	6727
263	2409	6717
264	2417	6705
265	2426	6694
266	2434	6684
267	2444	6676
268	2453	6667
269	2463	6661
270	2472	6652
271	2482	6643
272	2490	6633
273	2499	6623
274	2509	6614
275	2518	6605
276	2526	6595
277	2535	6585
278	2545	6577
279	2554	6569
280	2564	6560
281	2573	6551
282	2584	6547
283	2594	6541
284	2603	6532
285	2614	6527
286	2624	6521
287	2634	6513
288	2645	6507
289	2653	6497
290	2663	6489
291	2672	6479
292	2681	6469
293	2691	6463
294	2700	6454
295	2709	6444
296	2719	6436
297	2728	6428
298	2737	6418
299	2746	6408
300	2756	6401
301	2765	6392
302	2775	6385
303	2785	6377
