iter	Passed	Remaining
0	157	157318
1	163	81791
2	170	56573
3	176	43937
4	182	36356
5	188	31288
6	196	27823
7	202	25146
8	208	23004
9	215	21349
10	221	19919
11	227	18765
12	234	17794
13	241	16973
14	247	16240
15	253	15604
16	260	15038
17	265	14507
18	272	14050
19	278	13630
20	284	13270
21	290	12928
22	297	12617
23	303	12331
24	309	12066
25	315	11825
26	321	11600
27	328	11390
28	334	11210
29	341	11029
30	347	10873
31	354	10724
32	361	10579
33	367	10434
34	373	10306
35	379	10173
36	386	10064
37	393	9951
38	403	9934
39	410	9847
40	416	9749
41	423	9659
42	429	9550
43	435	9456
44	440	9356
45	447	9279
46	454	9206
47	460	9128
48	466	9059
49	473	9000
50	480	8940
51	487	8884
52	494	8832
53	501	8787
54	508	8732
55	514	8677
56	522	8645
57	529	8592
58	535	8547
59	542	8500
60	549	8458
61	556	8424
62	563	8380
63	571	8351
64	577	8309
65	584	8269
66	591	8235
67	598	8202
68	606	8176
69	612	8138
70	619	8100
71	625	8064
72	632	8034
73	640	8010
74	646	7977
75	653	7949
76	660	7915
77	667	7884
78	673	7855
79	680	7824
80	687	7803
81	694	7773
82	701	7751
83	707	7719
84	714	7691
85	721	7666
86	727	7635
87	734	7614
88	741	7586
89	747	7560
90	754	7535
91	761	7512
92	768	7497
93	775	7471
94	782	7451
95	789	7433
96	796	7413
97	803	7393
98	809	7370
99	817	7361
100	824	7337
101	831	7320
102	839	7307
103	847	7299
104	855	7288
105	864	7287
106	873	7290
107	885	7310
108	895	7318
109	902	7305
110	909	7283
111	916	7263
112	922	7241
113	929	7226
114	936	7204
115	942	7183
116	949	7167
117	955	7144
118	963	7132
119	970	7113
120	977	7099
121	984	7081
122	990	7063
123	998	7051
124	1004	7031
125	1011	7017
126	1017	6995
127	1026	6992
128	1033	6976
129	1040	6962
130	1048	6956
131	1055	6940
132	1063	6932
133	1070	6917
134	1077	6906
135	1084	6892
136	1092	6882
137	1099	6865
138	1105	6848
139	1113	6838
140	1119	6820
141	1126	6809
142	1133	6793
143	1140	6781
144	1147	6765
145	1154	6753
146	1161	6742
147	1168	6727
148	1176	6717
149	1182	6700
150	1190	6692
151	1197	6680
152	1204	6665
153	1211	6655
154	1218	6641
155	1225	6631
156	1232	6617
157	1239	6606
158	1247	6595
159	1253	6582
160	1260	6570
161	1267	6557
162	1275	6547
163	1281	6532
164	1289	6526
165	1296	6515
166	1303	6502
167	1310	6490
168	1317	6476
169	1324	6466
170	1330	6452
171	1338	6443
172	1345	6431
173	1352	6420
174	1360	6413
175	1368	6405
176	1374	6392
177	1381	6381
178	1388	6368
179	1394	6354
180	1402	6345
181	1409	6335
182	1417	6327
183	1424	6315
184	1432	6310
185	1439	6299
186	1447	6295
187	1454	6282
188	1461	6272
189	1468	6260
190	1475	6249
191	1482	6239
192	1489	6227
193	1496	6217
194	1503	6205
195	1509	6192
196	1516	6182
197	1523	6170
198	1531	6163
199	1537	6151
200	1544	6139
201	1551	6129
202	1558	6120
203	1566	6112
204	1573	6101
205	1580	6092
206	1587	6081
207	1594	6073
208	1601	6060
209	1608	6051
210	1615	6039
211	1622	6030
212	1629	6022
213	1636	6011
214	1644	6004
215	1650	5991
216	1657	5981
217	1664	5972
218	1671	5961
219	1678	5952
220	1685	5942
221	1693	5933
222	1699	5921
223	1705	5909
224	1712	5899
225	1719	5888
226	1726	5880
227	1733	5870
228	1741	5863
229	1747	5851
230	1754	5840
231	1761	5832
232	1769	5824
233	1776	5815
234	1783	5805
235	1790	5796
236	1797	5786
237	1804	5776
238	1811	5768
239	1818	5760
240	1827	5754
241	1833	5743
242	1840	5734
243	1847	5725
244	1855	5716
245	1862	5708
246	1869	5700
247	1876	5689
248	1883	5680
249	1890	5670
250	1897	5661
251	1905	5654
252	1912	5646
253	1920	5639
254	1927	5630
255	1935	5623
256	1942	5615
257	1949	5607
258	1956	5596
259	1962	5585
260	1969	5577
261	1976	5568
262	1983	5557
263	1989	5547
264	1996	5536
265	2003	5527
266	2009	5515
267	2015	5504
268	2022	5496
269	2029	5486
270	2036	5477
271	2042	5466
272	2048	5455
273	2055	5445
274	2061	5434
275	2068	5425
276	2075	5416
277	2081	5406
278	2089	5399
279	2095	5389
280	2102	5379
281	2109	5370
282	2116	5363
283	2123	5354
284	2130	5345
285	2138	5338
286	2145	5329
287	2151	5319
288	2158	5311
289	2165	5300
290	2171	5291
291	2178	5282
292	2185	5272
293	2191	5263
294	2198	5254
295	2205	5245
296	2213	5238
297	2220	5230
298	2227	5221
299	2235	5215
300	2242	5207
301	2249	5198
302	2255	5189
303	2262	5181
304	2269	5172
305	2276	5163
306	2283	5154
307	2290	5145
308	2298	5139
309	2304	5129
310	2313	5124
311	2319	5115
312	2328	5109
313	2335	5103
314	2343	5095
315	2350	5087
316	2357	5080
317	2366	5074
318	2373	5066
319	2380	5058
320	2387	5050
321	2394	5042
322	2401	5034
323	2408	5025
324	2416	5018
325	2422	5008
326	2430	5002
327	2437	4994
328	2445	4987
329	2452	4978
330	2458	4969
331	2465	4961
332	2473	4954
333	2480	4946
334	2487	4937
335	2494	4929
336	2501	4920
337	2508	4913
338	2515	4904
339	2521	4895
340	2529	4887
341	2535	4878
342	2542	4869
343	2548	4860
344	2555	4851
345	2563	4844
346	2570	4837
347	2578	4830
348	2584	4821
349	2591	4812
350	2598	4804
351	2605	4796
352	2612	4788
353	2619	4780
354	2626	4772
355	2633	4763
356	2640	4755
357	2647	4748
358	2654	4739
359	2661	4731
360	2668	4722
361	2675	4715
362	2689	4719
363	2699	4717
364	2707	4710
365	2713	4700
366	2719	4690
367	2728	4685
368	2735	4678
369	2743	4671
370	2749	4661
371	2755	4651
372	2762	4643
373	2769	4636
374	2777	4628
375	2784	4621
376	2792	4615
377	2800	4607
378	2807	4600
379	2815	4594
380	2823	4587
381	2831	4580
382	2839	4573
383	2846	4566
384	2854	4560
385	2861	4552
386	2869	4545
387	2876	4537
388	2884	4530
389	2891	4522
390	2898	4514
391	2906	4507
392	2913	4499
393	2920	4492
394	2927	4484
395	2935	4476
396	2942	4468
397	2949	4460
398	2956	4453
399	2963	4445
400	2970	4437
401	2977	4429
402	2985	4422
403	2993	4415
404	3001	4408
405	3008	4400
406	3015	4394
407	3022	4386
408	3029	4378
409	3037	4370
410	3043	4362
411	3051	4355
412	3057	4346
413	3064	4338
414	3071	4330
415	3079	4322
416	3086	4315
417	3094	4308
418	3102	4301
419	3109	4293
420	3116	4286
421	3123	4278
422	3132	4272
423	3139	4264
424	3147	4258
425	3154	4250
426	3161	4242
427	3168	4234
428	3175	4226
429	3182	4218
430	3189	4210
431	3197	4203
432	3203	4195
433	3211	4187
434	3217	4179
435	3224	4171
436	3232	4164
437	3239	4156
438	3246	4149
439	3253	4141
440	3261	4134
441	3270	4128
442	3277	4121
443	3285	4114
444	3293	4107
445	3300	4100
446	3307	4091
447	3314	4083
448	3320	4074
449	3327	4066
450	3333	4058
451	3340	4050
452	3347	4041
453	3353	4033
454	3360	4025
455	3367	4016
456	3374	4009
457	3380	4000
458	3386	3991
459	3393	3983
460	3401	3976
461	3407	3968
462	3413	3959
463	3421	3951
464	3428	3944
465	3435	3936
466	3442	3929
467	3449	3921
468	3456	3913
469	3464	3906
470	3469	3897
471	3476	3888
